trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
39,16:05:00,16:05:00,node/6197929487,6,,,,,
39,16:06:00,16:06:00,node/6197947265,7,,,,,
39,16:07:00,16:07:00,node/6197947267,8,,,,,
39,16:07:51,16:07:51,node/6197947268,9,,,,,
39,16:09:00,16:09:00,node/6197947273,10,,,,,
39,16:12:00,16:12:00,node/6197929079,11,,,,,
38,15:46:00,15:46:00,node/6197929079,1,,,,,
38,15:48:00,15:48:00,node/6197929073,2,,,,,
38,15:49:00,15:49:00,node/6197929075,3,,,,,
38,15:50:00,15:50:00,node/6197929084,4,,,,,
38,15:51:00,15:51:00,node/6197929485,5,,,,,
38,15:52:00,15:52:00,node/6197929487,6,,,,,
38,15:53:00,15:53:00,node/6197947265,7,,,,,
38,15:54:00,15:54:00,node/6197947267,8,,,,,
38,15:54:51,15:54:51,node/6197947268,9,,,,,
38,15:56:00,15:56:00,node/6197947273,10,,,,,
38,15:59:00,15:59:00,node/6197929079,11,,,,,
59,20:19:00,20:19:00,node/6197929079,1,,,,,
59,20:21:00,20:21:00,node/6197929073,2,,,,,
59,20:22:00,20:22:00,node/6197929075,3,,,,,
59,20:23:00,20:23:00,node/6197929084,4,,,,,
59,20:24:00,20:24:00,node/6197929485,5,,,,,
59,20:25:00,20:25:00,node/6197929487,6,,,,,
59,20:26:00,20:26:00,node/6197947265,7,,,,,
59,20:27:00,20:27:00,node/6197947267,8,,,,,
59,20:27:51,20:27:51,node/6197947268,9,,,,,
59,20:29:00,20:29:00,node/6197947273,10,,,,,
59,20:32:00,20:32:00,node/6197929079,11,,,,,
58,20:06:00,20:06:00,node/6197929079,1,,,,,
58,20:08:00,20:08:00,node/6197929073,2,,,,,
58,20:09:00,20:09:00,node/6197929075,3,,,,,
58,20:10:00,20:10:00,node/6197929084,4,,,,,
58,20:11:00,20:11:00,node/6197929485,5,,,,,
58,20:12:00,20:12:00,node/6197929487,6,,,,,
58,20:13:00,20:13:00,node/6197947265,7,,,,,
58,20:14:00,20:14:00,node/6197947267,8,,,,,
58,20:14:51,20:14:51,node/6197947268,9,,,,,
58,20:16:00,20:16:00,node/6197947273,10,,,,,
58,20:19:00,20:19:00,node/6197929079,11,,,,,
11,09:23:00,09:23:00,node/6197929079,1,,,,,
11,09:25:00,09:25:00,node/6197929073,2,,,,,
11,09:26:00,09:26:00,node/6197929075,3,,,,,
11,09:27:00,09:27:00,node/6197929084,4,,,,,
